,site_code,lat,lng
0,RD019,41.9158366,-88.69529899999999
1,RD020,42.7321271,-87.955265
2,RD047,38.3248186,-85.8174897
3,RD012,40.7860906,-89.6092185
4,RD001,42.22462300000001,-89.0039369
5,RD014,41.4881718,-87.9665199
6,RD013,41.4836845,-87.840721
7,RD046,38.3961835,-85.6798245
8,RD003,41.6276057,-88.4445147
9,RD008,40.8176512,-89.56549600000001
10,RD009,42.208965,-89.1076439
11,RD016,41.8984884,-88.7611783
12,RD007,41.7178458,-88.3053453
13,RD058,41.4285614,-87.3464616
14,RD040,42.493084,-88.092401
15,RD086,42.0689625,-88.30825039999999
16,RD011,42.4654416,-87.8580285
17,RD006,42.290819,-88.43223599999999
18,RD021,41.47008599999999,-87.7186679
19,RD015,41.8978374,-88.76533219999999
20,RD078,42.3251134,-88.45918759999999
21,RD023,42.3850245,-87.90327219999999
22,RD005,42.70628199999999,-89.0093064
23,RD010,42.5036122,-88.3180466
24,RD081,30.5858889,-88.1771564
25,RD029,36.4112142,-86.7865039
26,RD026,38.7129811,-89.8778536
27,RD033,36.5654012,-87.4133544
28,RD028,42.709139,-87.8131401
29,RD054,37.999678,-87.484573
30,RD031,36.4908484,-86.8831847
31,RD052,37.9473167,-87.4909401
32,RD049,38.0167297,-84.2208861
33,RD027,39.4498021,-87.3337159
34,RD032,40.5000199,-88.9376827
35,RD030,36.5018005,-86.9031655
36,RD022,41.4175519,-87.7481737
37,RD050,37.9991245,-87.48566079999999
38,RD055,42.4834658,-92.4540592
39,RD025,38.66034140000001,-89.9840188
40,RD036,39.8204523,-88.8789232
41,RD044,39.4635748,-87.30336059999999
42,RD018,41.9362448,-88.86306549999999
43,RD043,43.1501297,-88.00198189999999
44,RD034,36.5805566,-87.40940959999999
45,RD035,36.2206864,-86.56179929999999
46,RD045,38.7456959,-89.68695679999999
47,RD041,36.373969,-86.41735729999999
48,RD017,41.9623548,-88.71589929999999
49,RD053,38.0267765,-87.5199363
50,RD037,35.5992225,-87.06285539999999
51,RD082,30.6951084,-88.2271
52,RD084,30.657956,-88.238632
53,RD083,30.6367229,-88.2247139
54,RD063,38.3270517,-85.4666646
55,RD064,38.40403,-85.7444098
56,RD057,36.5248619,-87.2299531
57,RD060,37.3315871,-89.5688243
58,RD085,30.7663133,-88.1282617
59,RD073,40.3325414,-86.7852008
60,RD066,34.2218883,-91.9755984
61,RD059,38.7204716,-90.3667001
62,RD067,32.3909241,-86.2098936
63,RD072,32.3654032,-86.3050675
64,RD077,39.7218742,-82.1987216
65,RD079,38.9343621,-94.3821383
66,RD062,41.6124277,-94.037968
67,RD075,39.34106329999999,-83.0305587
68,RD069,32.3811172,-86.1886213
69,RD177,41.5744616,-83.7001516
70,RD076,40.0058441,-82.4597885
71,RD090,39.0826397,-94.4728637
72,RD089,41.6873399,-86.09172939999999
73,RD080,39.12413799999999,-94.364318
74,RD070,32.3841883,-86.1886845
75,RD048,36.1736286,-86.2953952
76,RD065,40.6342954,-89.54183920000001
77,RD071,41.89922989999999,-83.42919669999999
78,RD068,32.3667783,-86.24610559999999
79,RD101,37.5884281,-85.744412
80,RD112,32.4430622,-93.95886
81,RD092,42.7691132,-84.7389427
82,RD119,30.4450109,-90.4170743
83,RD100,37.7532508,-85.8985873
84,RD110,30.469608,-88.975735
85,RD111,30.5493204,-87.2846438
86,RD108,32.4934598,-93.7796092
87,RD113,38.3493859,-85.7449465
88,RD096,34.4755601,-93.0478002
89,RD116,30.5057308,-90.1122157
90,RD107,35.2110606,-91.7315647
91,RD105,42.1147828,-83.197341
92,RD120,30.302717,-89.839074
93,RD106,32.29276300000001,-90.868063
94,RD114,39.7811149,-94.7997242
95,RD117,30.512216,-90.403276
96,RD091,42.2781205,-84.93281859999999
97,RD104,32.3155965,-90.8639387
98,RD115,30.438,-90.04234799999999
99,RD097,39.9785232,-82.8786547
